INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.9694629802370311, 0.9636963798644205, -0.20663985464226187, 2.5281132659094503, 2.4620220661800367, -1.9201098723014, -1.588509226980463, 1.5110462152742876, -2.512903476144471, -1.6050945510807224]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 3, 0, 1, 0], "hlc": [921536, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 1, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921539, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 1, 1, 6, 0, 1, 0, 5, 0], "hlc": [921539, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [4, 5, 1, 3, 5, 0, 1, 0, 2, 0], "hlc": [921540, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [5, 5, 4, 3, 5, 1, 1, 2, 2, 0], "hlc": [921540, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [6, 5, 4, 4, 5, 1, 1, 2, 2, 0], "hlc": [921540, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [7, 5, 4, 4, 5, 3, 1, 2, 2, 0], "hlc": [921540, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 6, 0, 0, 1, 0, 0, 3, 2, 0], "hlc": [921539, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 1, 5, 0, 0, 1, 3, 2, 1, 0], "hlc": [921539, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 0, 1, 5, 6, 0, 1, 0, 5, 0], "hlc": [921541, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 7, 0, 0, 1, 0, 0, 3, 2, 0], "hlc": [921539, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 4, 0, 1, 0], "hlc": [921536, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [8, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 0, 1, 6, 6, 0, 4, 0, 5, 0], "hlc": [921541, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [9, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [0, 0, 1, 7, 6, 0, 4, 0, 5, 0], "hlc": [921541, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 1, 0, 0, 0, 0, 0, 4, 0, 0], "hlc": [921540, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 0, 1, 1, 6, 0, 1, 0, 6, 0], "hlc": [921539, 7]}
