INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.9962101302354505, 3.6475323162808326, 0.09797276767256324, 1.8472757113429257, 4.1729302575125296, 4.251406150211791, 0.782136864081199, -0.2830100115701928, -3.2022135396809004, 3.8452351858718377]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [3, 1, 0, 1, 5, 5, 0, 4, 1, 0], "hlc": [921556, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 0, 2, 1, 1, 6, 0, 2, 2, 6], "hlc": [921556, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [1, 3, 0, 1, 0, 3, 2, 0, 4, 0], "hlc": [921555, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [1, 5, 2, 0, 1, 1, 0, 1, 2, 7], "hlc": [921555, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [4, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921550, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 1, 4, 0, 3, 1, 0, 0, 0, 0], "hlc": [921555, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921553, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 0, 2, 1, 1, 7, 0, 2, 2, 6], "hlc": [921556, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [1, 3, 0, 1, 0, 3, 3, 0, 4, 0], "hlc": [921555, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [1, 3, 0, 0, 0, 0, 0, 0, 5, 0], "hlc": [921554, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [1, 5, 2, 0, 1, 1, 0, 1, 2, 8], "hlc": [921555, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [1, 3, 5, 1, 3, 3, 3, 0, 4, 0], "hlc": [921555, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [3, 1, 0, 2, 6, 5, 0, 4, 1, 0], "hlc": [921556, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [3, 3, 0, 2, 7, 5, 0, 4, 5, 0], "hlc": [921556, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [4, 3, 0, 0, 0, 0, 0, 0, 6, 0], "hlc": [921554, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [4, 3, 4, 0, 3, 1, 0, 0, 7, 0], "hlc": [921555, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [4, 3, 4, 1, 3, 7, 0, 2, 8, 6], "hlc": [921556, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [4, 5, 4, 1, 3, 7, 0, 2, 9, 8], "hlc": [921556, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [5, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921550, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [1, 3, 6, 1, 3, 3, 3, 0, 4, 0], "hlc": [921555, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 0, 0, 3, 0, 0, 0, 0, 0, 0], "hlc": [921554, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [3, 3, 0, 2, 8, 5, 0, 4, 5, 0], "hlc": [921556, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [0, 0, 2, 1, 1, 8, 0, 2, 2, 6], "hlc": [921556, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [3, 0, 0, 0, 0, 0, 0, 5, 1, 0], "hlc": [921552, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [4, 5, 4, 1, 3, 7, 0, 2, 10, 8], "hlc": [921556, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [1, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [6, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [1, 6, 0, 3, 1, 0, 0, 1, 0, 3], "hlc": [921556, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [5, 0, 2, 1, 1, 9, 0, 2, 2, 6], "hlc": [921557, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [3, 3, 0, 2, 8, 5, 4, 4, 5, 0], "hlc": [921556, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [3, 0, 2, 1, 1, 8, 0, 6, 2, 6], "hlc": [921556, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [4, 5, 4, 1, 3, 8, 0, 7, 10, 8], "hlc": [921556, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [4, 5, 6, 1, 3, 7, 3, 2, 11, 8], "hlc": [921556, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [4, 5, 6, 1, 3, 7, 3, 5, 12, 8], "hlc": [921556, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [7, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [1, 3, 7, 1, 3, 3, 3, 0, 4, 0], "hlc": [921555, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [4, 5, 4, 1, 3, 8, 0, 8, 10, 8], "hlc": [921556, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [4, 5, 6, 1, 3, 7, 3, 5, 13, 8], "hlc": [921556, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [4, 7, 4, 3, 3, 8, 0, 8, 10, 8], "hlc": [921557, 0]}
